Year,Age,Excel Cash Early,Engine Cash Early,Delta Cash Early,Excel Net Worth Early,Engine Net Worth Early,Delta Net Worth Early,Excel Cash Norm,Engine Cash Norm,Delta Cash Norm,Excel Net Worth Norm,Engine Net Worth Norm,Delta Net Worth Norm
2049,71,269385.53,269385.53,0.00,2015807.10,2015807.10,-0.00,913983.14,913983.14,0.00,3510114.33,3510114.33,-0.00
2050,72,230046.99,230046.99,0.00,2028533.79,2028533.79,-0.00,927278.84,927278.84,0.00,3612752.04,3612752.04,0.00
2051,73,188675.24,188675.24,0.00,2040750.53,2040750.53,-0.00,941043.77,941043.77,0.00,3719192.56,3719192.56,0.00
2052,74,145227.94,145227.94,0.00,2052458.28,2052458.28,0.00,955302.07,955302.07,0.00,3829613.77,3829613.77,0.00
2053,75,99661.85,99661.85,0.00,2063658.29,2063658.29,0.00,970079.06,970079.06,0.00,3944203.69,3944203.69,0.00
2054,76,642504.80,642504.80,0.00,1978545.69,1978545.69,0.00,995262.03,995262.03,0.00,4073021.93,4073021.93,0.00
2055,77,599922.28,599922.28,0.00,1975498.11,1975498.11,0.00,1021511.16,1021511.16,0.00,4206911.17,4206911.17,0.00
2056,78,555143.17,555143.17,0.00,1971387.77,1971387.77,0.00,1048874.12,1048874.12,0.00,4346112.65,4346112.65,0.00
2057,79,507522.95,507522.95,0.00,1965600.99,1965600.99,0.00,1077400.62,1077400.62,0.00,4490881.33,4490881.33,0.00
2058,80,456992.48,456992.48,0.00,1958100.11,1958100.11,0.00,1107142.48,1107142.48,0.00,4641486.88,4641486.88,0.00
2059,81,403480.87,403480.87,0.00,1948846.52,1948846.52,0.00,1138153.70,1138153.70,0.00,4798214.63,4798214.63,0.00
2060,82,346915.47,346915.47,0.00,1937800.57,1937800.57,0.00,1170490.54,1170490.54,0.00,4961366.62,4961366.62,0.00
2061,83,287221.81,287221.81,0.00,1924921.53,1924921.53,0.00,1204211.64,1204211.64,0.00,5131262.71,5131262.71,-0.00
2062,84,224323.56,224323.56,0.00,1910167.58,1910167.58,0.00,1239378.08,1239378.08,0.00,5308241.83,5308241.83,0.00
2063,85,158142.47,158142.47,0.00,1893495.78,1893495.78,0.00,1276053.50,1276053.50,0.00,5492663.24,5492663.24,0.00
2064,86,88598.36,88598.36,0.00,1874861.97,1874861.97,0.00,1314304.20,1314304.20,0.00,5684907.96,5684907.96,0.00
2065,87,17361.64,17361.64,0.00,1855973.41,1855973.41,0.00,1354199.21,1354199.21,0.00,5885380.25,5885380.25,0.00
2066,88,-55581.00,-55581.00,0.00,1836854.41,1836854.41,0.00,1395810.46,1395810.46,0.00,6094509.21,6094509.21,0.00
2067,89,-130272.20,-130272.20,0.00,1817500.73,1817500.73,0.00,1439212.83,1439212.83,0.00,6312750.56,6312750.56,0.00
2068,90,-206755.69,-206755.69,0.00,1797907.84,1797907.84,0.00,1484484.29,1484484.29,0.00,6540588.44,6540588.44,0.00
2069,91,-285076.26,-285076.26,0.00,1778070.95,1778070.95,0.00,1531706.04,1531706.04,0.00,6778537.48,6778537.48,0.00
2070,92,-365279.84,-365279.84,0.00,1757984.89,1757984.89,-0.00,1580962.60,1580962.60,0.00,7027144.88,7027144.88,0.00
2071,93,-447413.52,-447413.52,0.00,1737644.17,1737644.17,-0.00,1632341.98,1632341.98,0.00,7286992.81,7286992.81,-0.00
2072,94,-531525.54,-531525.54,0.00,1717042.90,1717042.90,0.00,1685935.76,1685935.76,0.00,7558700.83,7558700.83,0.00
2073,95,-617665.36,-617665.36,0.00,1696174.76,1696174.76,-0.00,1741839.28,1741839.28,0.00,7842928.60,7842928.60,-0.00
